Designator,MidX,MidY,Layer,Rotation
C1,84.7,-16.1,top,90
C2,79.5,-16,top,90
C3,346.6,-23.2,top,0
C4,346.6,-48.2,top,0
C5,340.6,-48.2,top,90
C6,349.6,-48.2,top,90
C7,340.4,-23.8,top,90
C8,337.25,-54.25,top,270
C9,352.6,-54.4,top,270
C10,339,-29.8,top,270
C11,339,-59.2,top,270
C12,351,-59.25,top,270
D1,241.25,-42.5,top,180
DC1,108.475,-7.4,top,270
F1,107,-35.5,top,270
J1,301.8,-7.7,top,180
J2,321.8,-7.7,top,180
J3,250,-65,top,90
J4,250,-47.22,top,90
J5,341.8,-7.7,top,180
J6,361.8,-7.7,top,180
J8,136.25,-66.75,top,90
J10,136.25,-31.19,top,90
J13,181.25,-66.75,top,90
J14,181.25,-31.19,top,90
PS1,148.4,-11.8,top,180
PS2,188.4,-11.8,top,180
R1,298.4,-51.6,top,270
R2,295.6,-51.6,top,270
R3,352.8,-48.2,top,90
R4,337.2,-23.8,top,90
R5,339,-48.2,top,90
R6,351.2,-48.2,top,90
R7,338.8,-23.8,top,90
R8,337.4,-48.2,top,90
R9,335.5,-54.25,top,90
R10,354.2,-54.4,top,90
R11,335.8,-29.8,top,270
R12,339,-54.25,top,90
R13,351,-54.4,top,90
R14,335.8,-59.2,top,270
R15,337.4,-29.8,top,270
R16,354.25,-59.25,top,270
R17,337.4,-59.2125,top,270
R18,352.575,-59.25,top,270
U1,82.1,-26.5,top,90
U2,345,-55,top,0
U3,345,-30,top,0
