Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,330nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,84.7,-16.1,90,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.5,-16,90,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,346.6,-23.2,0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,346.6,-48.2,0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,340.6,-48.2,90,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,349.6,-48.2,90,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,340.4,-23.8,90,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,337.25,-54.25,270,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,352.6,-54.4,270,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,339,-29.8,270,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,339,-59.2,270,top
C12,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,351,-59.25,270,top
C13,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,263.398,-74.676,90,top
C14,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,278.384,-77.978,90,top
C15,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,271.224,-77.984,90,top
D1,SS3150_SMB,SMB_L4.6-W3.6-LS5.3-R-RD,241.25,-42.5,180,top
DC1,DC-044K-D025,DC-IN-TH_DC-044K-D025,108.475,-7.4,270,top
F1,Fuse,FUSE-TH_L22.6-W9.0,107,-35.5,270,top
J1,RJ11_Shielded,RJ11-TH_PCB-6P6C-90,301.8,-7.7,180,top
J2,RJ11_Shielded,RJ11-TH_PCB-6P6C-90,321.8,-7.7,180,top
J3,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,250,-65,90,top
J4,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,250,-47.22,90,top
J5,RJ11_Shielded,RJ11-TH_PCB-6P6C-90,341.8,-7.7,180,top
J6,RJ11_Shielded,RJ11-TH_PCB-6P6C-90,361.8,-7.7,180,top
J7,Conn_01x11,CONN-TH_B11B-ZR-LF-SN,304.5,-83,180,top
J8,Screw_Terminal_01x06,CONN-TH_6P-P5.00_DB128V,190.246,-86.106,0,top
J9,Screw_Terminal_01x02,CONN-TH_2P-P5.00_WJ500V-5.08-2P,117.8,-87,180,top
J10,Screw_Terminal_01x04,CONN-TH_4P-P5.00_DB127V-5.0-4P-GN-S,135.8,-87,0,top
J11,Screw_Terminal_01x06,CONN-TH_6P-P5.00_DB128V,69.3,-87,0,top
J13,Screw_Terminal_01x02,CONN-TH_2P-P5.00_WJ500V-5.08-2P,238.7,-87,180,top
J14,Screw_Terminal_01x04,CONN-TH_4P-P5.00_DB127V-5.0-4P-GN-S,256.7,-87,0,top
PS1,XLR4,CONN-TH_NC4FBH,148.4,-11.8,180,top
PS2,XLR4,CONN-TH_NC4FBH,188.4,-11.8,180,top
R1,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,298.4,-51.6,270,top
R2,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,295.6,-51.6,270,top
R3,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,352.8,-48.2,90,top
R4,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,337.2,-23.8,90,top
R5,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,339,-48.2,90,top
R6,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,351.2,-48.2,90,top
R7,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,338.8,-23.8,90,top
R8,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,337.4,-48.2,90,top
R9,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,335.5,-54.25,90,top
R10,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,354.2,-54.4,90,top
R11,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,335.8,-29.8,270,top
R12,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,339,-54.25,90,top
R13,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,351,-54.4,90,top
R14,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,335.8,-59.2,270,top
R15,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,337.4,-29.8,270,top
R16,300K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,354.25,-59.25,270,top
R17,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,337.4,-59.2125,270,top
R18,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,352.575,-59.25,270,top
U1,LM7805S_TR,TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,82.1,-26.5,90,top
U2,SN74LVC14ADR,SOIC-14_3.9x8.7mm_P1.27mm,345,-55,0,top
U3,SN74LVC14ADR,SOIC-14_3.9x8.7mm_P1.27mm,345,-30,0,top
U4,SN74LV1T34DCKR,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,275.732,-77.784,90,top
U5,SN74LV1T34DCKR,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,269.064,-77.934,90,top
U6,SN74LV1T34DCKR,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,261.172,-74.04,90,top
